,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,tIndL,AccLDAProp,tPropL,AccQDAInd,tIndQ,AccQDAProp,tPropQ
0,1,[3],1,1,,,0.535752444,0.001020026,0.53223062,0.001055452,0.587907087,0.001549667,0.603379368,0.001596886
1,1,"[3, 4]",2,1,,,0.53223062,0.001016429,0.534367457,0.001009791,0.603379368,0.001589908,0.646986665,0.001558741
2,2,[3],1,1,,,0.566208426,0.001017328,0.603237251,0.001012209,0.571662971,0.001510819,0.608913525,0.001499195
3,2,"[3, 4]",2,1,,,0.603237251,0.001031828,0.605853659,0.001017505,0.608913525,0.001506361,0.639068736,0.001505289
4,3,[3],1,1,,,0.580095988,0.001024398,0.611246944,0.001014827,0.523453772,0.001508561,0.582722086,0.001514017
5,3,"[3, 4]",2,1,,,0.611246944,0.001021487,0.626596034,0.001016595,0.582722086,0.001507592,0.610884723,0.001510799
6,4,[3],1,1,,,0.47106504,0.000965038,0.477495031,0.000990026,0.523868906,0.001453056,0.538053856,0.001453725
7,4,"[3, 4]",2,1,,,0.477495031,0.000964836,0.480067028,0.000967331,0.538053856,0.001433266,0.554576985,0.001425606
8,5,[3],1,1,,,0.449460178,0.001130131,0.475082147,0.001203611,0.501760288,0.001681667,0.549835706,0.001713345
9,5,"[3, 4]",2,1,,,0.475082147,0.001148028,0.488968862,0.001091712,0.549835706,0.001835093,0.578743546,0.001924805
10,6,[3],1,1,,,0.451409954,0.001015086,0.469685054,0.000997436,0.459798525,0.001458289,0.485114032,0.001448817
11,6,"[3, 4]",2,1,,,0.469685054,0.001093438,0.483054338,0.001098138,0.485114032,0.001641405,0.524173314,0.001641519
12,7,[3],1,1,,,0.524938837,0.001029548,0.536461211,0.001144932,0.527937811,0.001585604,0.535316865,0.001619448
13,7,"[3, 4]",2,1,,,0.536461211,0.001114197,0.535790387,0.001108229,0.535316865,0.001609395,0.559229737,0.00157746
14,8,[3],1,1,,,0.5004455,0.001147493,0.508082651,0.001123896,0.533327676,0.001604403,0.583393441,0.001566191
15,8,"[3, 4]",2,1,,,0.508082651,0.001158809,0.51822309,0.001080298,0.583393441,0.001544348,0.616657474,0.001549415
16,9,[3],1,1,,,0.588155292,0.001298977,0.593265743,0.001294464,0.643010221,0.001924631,0.645812727,0.001871861
17,9,"[3, 4]",2,1,,,0.593265743,0.001299366,0.627802506,0.001299119,0.645812727,0.001882266,0.649274646,0.001879509
18,10,[3],1,1,,,0.54800993,0.001526354,0.566108753,0.001493027,0.581885161,0.002208973,0.633418756,0.003767806
19,10,"[3, 4]",2,1,,,0.566108753,0.002048809,0.577640746,0.002069495,0.633418756,0.002978322,0.657043325,0.002977146
